Date	Open	High	Low	Close*	Adj Close**	Volume
Mar 21, 2024	429.83	430.82	427.16	429.37	428.60	21,296,200
Mar 20, 2024	422.00	425.96	420.66	425.23	424.46	17,860,100
Mar 19, 2024	417.83	421.67	415.55	421.41	420.65	19,837,900
Mar 18, 2024	414.25	420.73	413.78	417.32	416.57	20,106,000
Mar 15, 2024	419.29	422.60	412.79	416.42	415.67	45,049,800
Mar 14, 2024	420.24	427.82	417.99	425.22	424.45	34,157,300
Mar 13, 2024	418.10	418.18	411.45	415.10	414.35	17,115,900
Mar 12, 2024	407.62	415.57	406.79	415.28	414.53	22,457,000
Mar 11, 2024	403.76	405.68	401.26	404.52	403.79	16,120,800
Mar 08, 2024	407.96	410.42	404.33	406.22	405.49	17,971,700
Mar 07, 2024	406.12	409.78	402.24	409.14	408.40	18,718,500
Mar 06, 2024	402.97	405.16	398.39	402.09	401.37	22,344,100
Mar 05, 2024	413.96	414.25	400.64	402.65	401.93	26,919,200
Mar 04, 2024	413.44	417.35	412.32	414.92	414.17	17,596,000
Mar 01, 2024	411.27	415.87	410.88	415.50	414.75	17,800,300
Feb 29, 2024	408.64	414.20	405.92	413.64	412.90	31,947,300
Feb 28, 2024	408.18	409.30	405.32	407.72	406.99	13,183,100
Feb 27, 2024	407.99	408.32	403.85	407.48	406.75	14,835,800
Feb 26, 2024	411.46	412.16	407.36	407.54	406.81	16,193,500
Feb 23, 2024	415.67	415.86	408.97	410.34	409.60	16,295,900
Feb 22, 2024	410.19	412.83	408.57	411.65	410.91	27,009,900
Feb 21, 2024	400.17	402.29	397.22	402.18	401.46	18,631,100
Feb 20, 2024	403.24	404.49	398.01	402.79	402.06	24,307,900
Feb 16, 2024	407.96	408.29	403.44	404.06	403.33	22,281,100
Feb 15, 2024	408.14	409.13	404.29	406.56	405.83	21,825,500
Feb 14, 2024	408.07	409.84	404.57	409.49	408.75	20,401,200
Feb 13, 2024	404.94	410.07	403.39	406.32	404.84	27,824,900
Feb 12, 2024	420.56	420.74	414.75	415.26	413.75	21,202,900
Feb 09, 2024	415.25	420.82	415.09	420.55	419.02	22,032,800
Feb 08, 2024	414.05	415.56	412.53	414.11	412.60	21,225,300
Feb 07, 2024	407.44	414.30	407.40	414.05	412.54	22,340,500
Feb 06, 2024	405.88	407.97	402.91	405.49	404.01	18,382,600
Feb 05, 2024	409.90	411.16	403.99	405.65	404.17	25,352,300
Feb 02, 2024	403.81	412.65	403.56	411.22	409.72	28,245,000
Feb 01, 2024	401.83	408.00	401.80	403.78	402.31	30,657,700
Jan 31, 2024	406.96	415.32	397.21	397.58	396.13	47,871,100
Jan 30, 2024	412.26	413.05	406.45	408.59	407.10	33,477,600
Jan 29, 2024	406.06	409.98	404.33	409.72	408.23	24,510,200
Jan 26, 2024	404.37	406.17	402.43	403.93	402.46	17,803,300
Jan 25, 2024	404.32	407.01	402.53	404.87	403.40	21,021,200
Jan 24, 2024	401.54	405.63	400.45	402.56	401.09	24,867,000
Jan 23, 2024	395.75	399.38	393.93	398.90	397.45	20,525,900
Jan 22, 2024	400.02	400.62	393.59	396.51	395.07	27,016,900
Jan 19, 2024	395.76	398.67	393.50	398.67	397.22	29,272,000
Jan 18, 2024	391.72	393.99	390.12	393.87	392.44	23,392,100
Jan 17, 2024	387.98	390.11	384.81	389.47	388.05	22,234,100
Jan 16, 2024	393.66	394.03	387.62	390.27	388.85	27,202,300
Jan 12, 2024	385.49	388.68	384.65	388.47	387.05	21,645,700
Jan 11, 2024	386.00	390.68	380.38	384.63	383.23	27,850,800
Jan 10, 2024	376.37	384.17	376.32	382.77	381.38	25,514,200
Jan 09, 2024	372.01	375.99	371.19	375.79	374.42	20,830,000
Jan 08, 2024	369.30	375.20	369.01	374.69	373.33	23,134,000
Jan 05, 2024	368.97	372.06	366.50	367.75	366.41	20,987,000
Jan 04, 2024	370.67	373.10	367.17	367.94	366.60	20,901,500
Jan 03, 2024	369.01	373.26	368.51	370.60	369.25	23,083,500
Jan 02, 2024	373.86	375.90	366.77	370.87	369.52	25,258,600
Dec 29, 2023	376.00	377.16	373.48	376.04	374.67	18,723,000
Dec 28, 2023	375.37	376.46	374.16	375.28	373.91	14,327,000
Dec 27, 2023	373.69	375.06	372.81	374.07	372.71	14,905,400
Dec 26, 2023	375.00	376.94	373.50	374.66	373.30	12,673,100
Dec 22, 2023	373.68	375.18	372.71	374.58	373.22	17,091,100
Dec 21, 2023	372.56	374.41	370.04	373.54	372.18	17,708,000
Dec 20, 2023	375.00	376.03	370.53	370.62	369.27	26,316,700
Dec 19, 2023	371.49	373.26	369.84	373.26	371.90	20,603,700
Dec 18, 2023	369.45	373.00	368.68	372.65	371.29	21,802,900
Dec 15, 2023	366.85	372.40	366.28	370.73	369.38	78,478,200
Dec 14, 2023	373.31	373.76	364.13	365.93	364.60	43,277,500
Dec 13, 2023	376.02	377.64	370.77	374.37	373.01	30,955,500
Dec 12, 2023	370.85	374.42	370.46	374.38	373.02	24,838,300
Dec 11, 2023	368.48	371.60	366.10	371.30	369.95	27,708,800
Dec 08, 2023	369.20	374.46	368.23	374.23	372.87	20,144,800
Dec 07, 2023	368.23	371.45	366.32	370.95	369.60	23,118,900
Dec 06, 2023	373.54	374.18	368.03	368.80	367.46	21,182,100
Dec 05, 2023	366.45	373.08	365.62	372.52	371.16	23,065,000
Dec 04, 2023	369.10	369.52	362.90	369.14	367.80	32,063,300
Dec 01, 2023	376.76	378.16	371.31	374.51	373.15	33,020,400
Nov 30, 2023	378.49	380.09	375.47	378.91	377.53	30,554,400
Nov 29, 2023	383.76	384.30	377.44	378.85	377.47	28,963,400
Nov 28, 2023	378.35	383.00	378.16	382.70	381.31	20,453,100
Nov 27, 2023	376.78	380.64	376.20	378.61	377.23	22,179,200
Nov 24, 2023	377.33	377.97	375.14	377.43	376.05	10,176,600
Nov 22, 2023	378.00	379.79	374.97	377.85	376.47	23,345,300
Nov 21, 2023	375.67	376.22	371.12	373.07	371.71	28,423,100
Nov 20, 2023	371.22	378.87	371.00	377.44	376.07	52,465,100
Nov 17, 2023	373.61	374.37	367.00	369.85	368.50	40,157,000
Nov 16, 2023	370.96	376.35	370.18	376.17	374.80	27,182,300
Nov 15, 2023	371.28	373.13	367.11	369.67	368.32	26,860,100
Nov 14, 2023	371.01	371.95	367.35	370.27	368.17	27,683,900
Nov 13, 2023	368.22	368.47	365.90	366.68	364.60	19,986,500
Nov 10, 2023	361.49	370.10	361.07	369.67	367.58	28,042,100
Nov 09, 2023	362.30	364.79	360.36	360.69	358.65	24,847,300
Nov 08, 2023	361.68	363.87	360.55	363.20	361.14	26,767,800
Nov 07, 2023	359.40	362.46	357.63	360.53	358.49	25,833,900
Nov 06, 2023	353.45	357.54	353.35	356.53	354.51	23,828,300
Nov 03, 2023	349.63	354.39	347.33	352.80	350.80	23,624,000
Nov 02, 2023	347.24	348.83	344.77	348.32	346.35	24,348,100
Nov 01, 2023	339.79	347.42	339.65	346.07	344.11	28,158,800
Oct 31, 2023	338.85	339.00	334.69	338.11	336.20	20,265,300
Oct 30, 2023	333.41	339.45	331.83	337.31	335.40	22,828,100
Oct 27, 2023	330.43	336.72	328.40	329.81	327.94	29,856,500
Oct 26, 2023	340.54	341.63	326.94	327.89	326.03	37,828,500
Oct 25, 2023	345.02	346.20	337.62	340.67	338.74	55,053,800
Oct 24, 2023	331.30	331.84	327.60	330.53	328.66	31,153,600
Oct 23, 2023	325.47	332.73	324.39	329.32	327.46	24,374,700
Oct 20, 2023	331.72	331.92	325.45	326.67	324.82	25,012,600
Oct 19, 2023	332.15	336.88	330.91	331.32	329.44	25,052,100
Oct 18, 2023	332.49	335.59	328.30	330.11	328.24	23,153,600
Oct 17, 2023	329.59	333.46	327.41	332.06	330.18	18,338,500
Oct 16, 2023	331.05	336.14	330.60	332.64	330.76	22,158,000
Oct 13, 2023	332.38	333.83	326.36	327.73	325.87	21,072,400
Oct 12, 2023	330.57	333.63	328.72	331.16	329.29	19,313,100
Oct 11, 2023	331.21	332.82	329.14	332.42	330.54	20,063,200
Oct 10, 2023	330.96	331.10	327.67	328.39	326.53	20,557,100
Oct 09, 2023	324.75	330.30	323.18	329.82	327.95	19,891,200
Oct 06, 2023	316.55	329.19	316.30	327.26	325.41	25,645,500
Oct 05, 2023	319.09	319.98	314.90	319.36	317.55	16,965,600
Oct 04, 2023	314.03	320.04	314.00	318.96	317.15	20,720,100
Oct 03, 2023	320.83	321.39	311.21	313.39	311.62	21,033,500
Oct 02, 2023	316.28	321.89	315.18	321.80	319.98	20,570,000
Sep 29, 2023	317.75	319.47	314.98	315.75	313.96	24,140,300
Sep 28, 2023	310.99	315.48	309.45	313.64	311.86	19,683,600
Sep 27, 2023	312.30	314.30	309.69	312.79	311.02	19,410,100
Sep 26, 2023	315.13	315.88	310.02	312.14	310.37	26,297,600
Sep 25, 2023	316.59	317.67	315.00	317.54	315.74	17,836,000
Sep 22, 2023	321.32	321.45	316.15	317.01	315.22	21,447,900
Sep 21, 2023	319.26	325.35	315.00	319.53	317.72	35,529,500
Sep 20, 2023	329.51	329.59	320.51	320.77	318.95	21,436,500
Sep 19, 2023	326.17	329.39	324.51	328.65	326.79	16,505,900
Sep 18, 2023	327.80	330.40	326.36	329.06	327.20	16,834,200
Sep 15, 2023	336.92	337.40	329.65	330.22	328.35	37,666,900
Sep 14, 2023	339.15	340.86	336.57	338.70	336.78	20,267,000
Sep 13, 2023	331.31	336.85	331.17	336.06	334.16	16,544,400
Sep 12, 2023	335.82	336.79	331.48	331.77	329.89	17,565,500
Sep 11, 2023	337.24	338.42	335.43	337.94	336.03	16,583,300
Sep 08, 2023	330.09	336.16	329.46	334.27	332.38	19,530,100
Sep 07, 2023	331.29	333.08	329.03	329.91	328.04	18,381,000
Sep 06, 2023	333.38	334.46	330.18	332.88	331.00	17,535,800
Sep 05, 2023	329.00	334.85	328.66	333.55	331.66	18,553,900
Sep 01, 2023	331.31	331.99	326.78	328.66	326.80	14,931,200
Aug 31, 2023	329.20	330.91	326.78	327.76	325.90	26,411,000
Aug 30, 2023	328.67	329.81	326.45	328.79	326.93	15,222,100
Aug 29, 2023	321.88	328.98	321.88	328.41	326.55	19,284,600
Aug 28, 2023	325.66	326.15	321.72	323.70	321.87	14,808,500
Aug 25, 2023	321.47	325.36	318.80	322.98	321.15	21,684,100
Aug 24, 2023	332.85	332.98	319.96	319.97	318.16	23,281,400
Aug 23, 2023	323.82	329.20	323.46	327.00	325.15	21,166,400
Aug 22, 2023	325.50	326.08	321.46	322.46	320.63	16,102,000
Aug 21, 2023	317.93	322.77	317.04	321.88	320.06	24,040,000
Aug 18, 2023	314.49	318.38	311.55	316.48	314.69	24,744,800
Aug 17, 2023	320.54	321.87	316.21	316.88	315.09	21,257,200
Aug 16, 2023	320.80	324.42	319.80	320.40	318.59	20,698,900
Aug 15, 2023	323.00	325.09	320.90	321.86	319.36	16,966,300
Aug 14, 2023	321.39	324.06	320.08	324.04	321.52	18,836,100
Aug 11, 2023	320.26	322.41	319.21	321.01	318.52	24,342,600
Aug 10, 2023	326.02	328.26	321.18	322.93	320.42	20,113,700
Aug 09, 2023	326.47	327.11	321.05	322.23	319.73	22,373,300
Aug 08, 2023	326.96	328.75	323.00	326.05	323.52	22,327,600
Aug 07, 2023	328.37	331.11	327.52	330.11	327.55	17,741,500
Aug 04, 2023	331.88	335.14	327.24	327.78	325.24	23,727,700
Aug 03, 2023	326.00	329.88	325.95	326.66	324.12	18,253,700
Aug 02, 2023	333.63	333.63	326.36	327.50	324.96	27,761,300
Aug 01, 2023	335.19	338.54	333.70	336.34	333.73	18,311,900
Jul 31, 2023	336.92	337.70	333.36	335.92	333.31	25,446,000
Jul 28, 2023	333.67	340.01	333.17	338.37	335.74	28,484,900
Jul 27, 2023	340.48	341.33	329.05	330.72	328.15	39,635,300
Jul 26, 2023	341.44	344.67	333.11	337.77	335.15	58,383,700
Jul 25, 2023	347.11	351.89	345.07	350.98	348.26	41,637,700
Jul 24, 2023	345.85	346.92	342.31	345.11	342.43	26,678,100
Jul 21, 2023	349.15	350.30	339.83	343.77	343.77	69,368,900
Jul 20, 2023	353.57	357.97	345.37	346.87	346.87	33,778,400
Jul 19, 2023	361.75	362.46	352.44	355.08	355.08	39,732,900
Jul 18, 2023	345.83	366.78	342.17	359.49	359.49	64,872,700
Jul 17, 2023	345.68	346.99	342.20	345.73	345.73	20,363,900
Jul 14, 2023	347.59	351.43	344.31	345.24	345.24	28,302,200
Jul 13, 2023	339.56	343.74	339.02	342.66	342.66	20,567,200
Jul 12, 2023	336.60	341.65	335.67	337.20	337.20	29,995,300
Jul 11, 2023	331.06	332.86	327.00	332.47	332.47	26,698,200
Jul 10, 2023	334.60	335.23	327.59	331.83	331.83	32,791,400
Jul 07, 2023	339.32	341.79	337.00	337.22	337.22	21,185,300
Jul 06, 2023	337.30	342.99	335.50	341.27	341.27	28,161,200
Jul 05, 2023	335.09	341.65	334.73	338.15	338.15	18,172,400
Jul 03, 2023	339.19	340.90	336.57	337.99	337.99	12,508,700
Jun 30, 2023	337.75	342.73	337.20	340.54	340.54	26,823,800
Jun 29, 2023	334.71	336.11	332.62	335.05	335.05	16,997,000
Jun 28, 2023	334.66	337.98	333.81	335.85	335.85	20,259,500
Jun 27, 2023	331.86	336.15	329.30	334.57	334.57	24,354,100
Jun 26, 2023	333.72	336.11	328.49	328.60	328.60	21,520,600
Jun 23, 2023	334.36	337.96	333.45	335.02	335.02	23,084,700
Jun 22, 2023	334.12	340.12	333.34	339.71	339.71	23,556,800
Jun 21, 2023	336.37	337.73	332.07	333.56	333.56	25,117,800
Jun 20, 2023	339.31	342.08	335.86	338.05	338.05	26,375,400
Jun 16, 2023	351.32	351.47	341.95	342.33	342.33	46,533,600
Jun 15, 2023	337.48	349.84	337.20	348.10	348.10	38,899,100
Jun 14, 2023	334.34	339.04	332.81	337.34	337.34	26,003,800
Jun 13, 2023	334.47	336.98	330.39	334.29	334.29	22,951,300
Jun 12, 2023	328.58	332.10	325.16	331.85	331.85	24,260,300
Jun 09, 2023	324.99	329.99	324.41	326.79	326.79	22,514,900
Jun 08, 2023	323.94	326.64	323.35	325.26	325.26	23,277,700
Jun 07, 2023	331.65	334.49	322.50	323.38	323.38	40,717,100
Jun 06, 2023	335.33	335.37	332.17	333.68	333.68	20,396,200
Jun 05, 2023	335.22	338.56	334.66	335.94	335.94	21,307,100
Jun 02, 2023	334.25	337.50	332.55	335.40	335.40	25,864,000
Jun 01, 2023	325.93	333.53	324.72	332.58	332.58	26,773,900
May 31, 2023	332.29	335.94	327.33	328.39	328.39	45,950,600
May 30, 2023	335.23	335.74	330.52	331.21	331.21	29,503,100
May 26, 2023	324.02	333.40	323.88	332.89	332.89	36,630,600
May 25, 2023	323.24	326.90	320.00	325.92	325.92	43,301,700
May 24, 2023	314.73	316.50	312.61	313.85	313.85	23,384,900
May 23, 2023	320.03	322.72	315.25	315.26	315.26	30,797,200
May 22, 2023	318.60	322.59	318.01	321.18	321.18	24,115,700
May 19, 2023	316.74	318.75	316.37	318.34	318.34	27,529,500
May 18, 2023	314.53	319.04	313.72	318.52	318.52	27,276,000
May 17, 2023	312.29	314.43	310.74	314.00	314.00	24,315,000
May 16, 2023	309.83	313.71	309.83	311.74	311.06	26,730,300
May 15, 2023	309.10	309.90	307.59	309.46	308.78	16,336,500
May 12, 2023	310.55	310.65	306.60	308.97	308.30	19,758,100
May 11, 2023	310.10	311.12	306.26	310.11	309.43	31,680,200
May 10, 2023	308.62	313.00	307.67	312.31	311.63	30,078,000
May 09, 2023	308.00	310.04	306.31	307.00	306.33	21,340,800
May 08, 2023	310.13	310.20	306.09	308.65	307.98	21,318,600
May 05, 2023	305.72	311.97	304.27	310.65	309.97	28,181,200
May 04, 2023	306.24	307.76	303.40	305.41	304.74	22,519,900
May 03, 2023	306.62	308.61	304.09	304.40	303.74	22,360,800
May 02, 2023	307.76	309.18	303.91	305.41	304.74	26,404,400
May 01, 2023	306.97	308.60	305.15	305.56	304.89	21,294,100
Apr 28, 2023	304.01	308.93	303.31	307.26	306.59	36,446,700
Apr 27, 2023	295.97	305.20	295.25	304.83	304.17	46,462,600
Apr 26, 2023	296.70	299.57	292.73	295.37	294.73	64,599,200
Apr 25, 2023	279.51	281.60	275.37	275.42	274.82	45,772,200
Apr 24, 2023	282.09	284.95	278.72	281.77	281.16	26,611,000
Apr 21, 2023	285.01	286.27	283.06	285.76	285.14	21,676,400
Apr 20, 2023	285.25	289.03	285.08	286.11	285.49	23,244,400
Apr 19, 2023	285.99	289.05	284.54	288.45	287.82	17,150,300
Apr 18, 2023	291.57	291.76	287.01	288.37	287.74	20,161,800
Apr 17, 2023	289.93	291.60	286.16	288.80	288.17	23,836,200
Apr 14, 2023	287.00	288.48	283.69	286.14	285.52	20,987,900
Apr 13, 2023	283.59	289.90	283.17	289.84	289.21	24,222,700
Apr 12, 2023	284.79	287.01	281.96	283.49	282.87	27,403,400
Apr 11, 2023	285.75	285.98	281.64	282.83	282.21	27,276,600
Apr 10, 2023	289.21	289.60	284.71	289.39	288.76	23,103,000
Apr 06, 2023	283.21	292.08	282.03	291.60	290.96	29,770,300
Apr 05, 2023	285.85	287.15	282.92	284.34	283.72	22,064,800
Apr 04, 2023	287.23	290.45	285.67	287.18	286.55	25,824,300
Apr 03, 2023	286.52	288.27	283.95	287.23	286.60	24,883,300
Mar 31, 2023	283.73	289.27	283.00	288.30	287.67	32,766,000
Mar 30, 2023	284.23	284.46	281.48	284.05	283.43	25,053,400
Mar 29, 2023	278.96	281.14	278.41	280.51	279.90	25,087,000
Mar 28, 2023	275.79	276.14	272.05	275.23	274.63	21,878,600
Mar 27, 2023	280.50	281.46	275.52	276.38	275.78	26,840,200
Mar 24, 2023	277.24	280.63	275.28	280.57	279.96	28,172,000
Mar 23, 2023	277.94	281.06	275.20	277.66	277.05	36,610,900
Mar 22, 2023	273.40	281.04	272.18	272.29	271.70	34,873,300
Mar 21, 2023	274.88	275.00	269.52	273.78	273.18	34,558,700
Mar 20, 2023	276.98	277.48	269.85	272.23	271.64	43,466,600
Mar 17, 2023	278.26	283.33	276.32	279.43	278.82	69,527,400
Mar 16, 2023	265.21	276.56	263.28	276.20	275.60	54,768,800
Mar 15, 2023	259.98	266.48	259.21	265.44	264.86	46,028,000
Mar 14, 2023	256.75	261.07	255.86	260.79	260.22	33,620,300
Mar 13, 2023	247.40	257.91	245.73	253.92	253.37	33,339,700
Mar 10, 2023	251.08	252.79	247.60	248.59	248.05	28,333,900
Mar 09, 2023	255.82	259.56	251.58	252.32	251.77	26,653,400
Mar 08, 2023	254.04	254.54	250.81	253.70	253.15	17,340,200
Mar 07, 2023	256.30	257.69	253.39	254.15	253.60	21,473,200
Mar 06, 2023	256.43	260.12	255.98	256.87	256.31	24,109,800
Mar 03, 2023	252.19	255.62	251.39	255.29	254.73	30,760,100
Mar 02, 2023	246.55	251.40	245.61	251.11	250.56	24,808,200
Mar 01, 2023	250.76	250.93	245.79	246.27	245.73	27,565,300
Feb 28, 2023	249.07	251.49	248.73	249.42	248.88	22,491,000
Feb 27, 2023	252.46	252.82	249.39	250.16	249.61	21,190,000
Feb 24, 2023	249.96	251.00	248.10	249.22	248.68	24,990,900
Feb 23, 2023	255.56	256.84	250.48	254.77	254.21	29,219,100
Feb 22, 2023	254.09	254.34	250.34	251.51	250.96	22,491,100
Feb 21, 2023	254.48	255.49	251.59	252.67	252.12	28,397,400
Feb 17, 2023	259.39	260.09	256.00	258.06	257.50	30,000,100
Feb 16, 2023	264.02	266.74	261.90	262.15	261.58	29,603,600
Feb 15, 2023	268.32	270.73	266.18	269.32	268.73	28,922,400
Feb 14, 2023	272.67	274.97	269.28	272.17	270.90	37,047,900
Feb 13, 2023	267.64	274.60	267.15	271.32	270.05	44,630,900
Feb 10, 2023	261.53	264.09	260.66	263.10	261.87	25,818,500
Feb 09, 2023	273.80	273.98	262.80	263.62	262.39	42,375,100
Feb 08, 2023	273.20	276.76	266.21	266.73	265.48	54,686,000
Feb 07, 2023	260.53	268.77	260.08	267.56	266.31	50,841,400
Feb 06, 2023	257.44	258.30	254.78	256.77	255.57	22,518,000
Feb 03, 2023	259.54	264.20	257.10	258.35	257.14	29,077,300
Feb 02, 2023	258.82	264.69	257.25	264.60	263.36	39,940,400
Feb 01, 2023	248.00	255.18	245.47	252.75	251.57	31,259,900
Jan 31, 2023	243.45	247.95	242.95	247.81	246.65	26,541,100
Jan 30, 2023	244.51	245.60	242.20	242.71	241.58	25,867,400
Jan 27, 2023	248.99	249.83	246.83	248.16	247.00	26,498,900
Jan 26, 2023	243.65	248.31	242.00	248.00	246.84	33,454,500
Jan 25, 2023	234.48	243.30	230.90	240.61	239.49	66,526,600
Jan 24, 2023	242.50	243.95	240.44	242.04	240.91	40,234,400
Jan 23, 2023	241.10	245.17	239.65	242.58	241.45	31,934,000
Jan 20, 2023	234.86	240.74	234.51	240.22	239.10	35,389,800
Jan 19, 2023	233.78	235.52	230.68	231.93	230.85	28,623,000
Jan 18, 2023	241.57	242.38	235.52	235.81	234.71	30,028,700
Jan 17, 2023	237.97	240.91	237.09	240.35	239.23	29,831,300
Jan 13, 2023	237.00	239.37	234.92	239.23	238.11	21,333,300
Jan 12, 2023	235.26	239.90	233.56	238.51	237.40	27,269,500
Jan 11, 2023	231.29	235.95	231.11	235.77	234.67	28,669,300
Jan 10, 2023	227.76	231.31	227.33	228.85	227.78	27,033,900
Jan 09, 2023	226.45	231.24	226.41	227.12	226.06	27,369,800
Jan 06, 2023	223.00	225.76	219.35	224.93	223.88	43,613,600
Jan 05, 2023	227.20	227.55	221.76	222.31	221.27	39,585,600
Jan 04, 2023	232.28	232.87	225.96	229.10	228.03	50,623,400
Jan 03, 2023	243.08	245.75	237.40	239.58	238.46	25,740,000
Dec 30, 2022	238.21	239.96	236.66	239.82	238.70	21,938,500
Dec 29, 2022	235.65	241.92	235.65	241.01	239.88	19,770,700
Dec 28, 2022	236.89	239.72	234.17	234.53	233.43	17,457,100
Dec 27, 2022	238.70	238.93	235.83	236.96	235.85	16,688,600
Dec 23, 2022	236.11	238.87	233.94	238.73	237.61	21,207,000
Dec 22, 2022	241.26	241.99	233.87	238.19	237.08	28,651,700
